ID,Type
A3,Sample
A5,Sample
A6,Sample
A9,Sample
A31,Sample
A51,Sample
A52,Sample
A53,Sample
A54,Sample
A59,Sample
A67,Sample
A68,Sample
A69,Sample
A71,Sample
A73,Sample
A76,Sample
A78,Sample
A87,Sample
A89,Sample
A93,Sample
A101,Sample
A109,Sample
A113,Sample
A114,Sample
A115,Sample
A142,Sample
A144,Sample
A149,Sample
A164,Sample
A165,Sample
B1,Sample
B2,Sample
B3,Sample
B5,Sample
B6,Sample
B7,Sample
B8,Sample
B13,Sample
B14,Sample
B28,Sample
B29,Sample
B36,Sample
B37,Sample
B94,Sample
B99,Sample
B103,Sample
B106,Sample
B111,Sample
B114,Sample
B115,Sample
B120,Sample
B127,Sample
B132,Sample
B141,Sample
B142,Sample
B143,Sample
B152,Sample
B156,Sample
B158,Sample
B164,Sample
g__Faecalibacterium;s__Faecalibacterium prausnitzii,Microbe
g__Hungatella;s__Hungatella hathewayi,Microbe
g__Clostridium;s__uncultured Clostridium sp.,Microbe
g__Butyricimonas;s__Butyricimonas virosa,Microbe
g__Alistipes;s__Alistipes indistinctus,Microbe
g__Clostridium;s__Clostridium sp. CAG:7,Microbe
g__Lachnoclostridium;s__[Clostridium] asparagiforme,Microbe
g__Butyricicoccus;s__uncultured Butyricicoccus sp.,Microbe
g__Oscillibacter;s__Oscillibacter sp. ER4,Microbe
g__Desulfovibrio;s__Desulfovibrio piger,Microbe
g__Fusobacterium;s__Fusobacterium mortiferum,Microbe
g__Clostridium;s__Clostridium sp. GD3,Microbe
g__Ruminococcus;s__Ruminococcus callidus,Microbe
g__Flavonifractor;s__uncultured Flavonifractor sp.,Microbe
g__Subdoligranulum;s__Subdoligranulum variabile,Microbe
g__Clostridium;s__Clostridium sp. CAG:127,Microbe
g__Clostridium;s__Clostridium sp. CAG:510,Microbe
g__Phascolarctobacterium;s__Phascolarctobacterium sp. CAG:207,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:38,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:192,Microbe
g__Clostridium;s__Clostridium sp. CAG:242,Microbe
g__Roseburia;s__Roseburia sp. CAG:380,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:254,Microbe
g__Prevotella;s__Prevotella copri,Microbe
g__Ruminococcus;s__uncultured Ruminococcus sp.,Microbe
g__Clostridium;s__Clostridium sp. CAG:75,Microbe
g__Lachnoclostridium;s__[Clostridium] bolteae,Microbe
g__Prevotella;s__Prevotella sp. CAG:1092,Microbe
g__Holdemanella;s__Holdemanella biformis,Microbe
g__Prevotella;s__Prevotella sp. CAG:279,Microbe
g__Dialister;s__Dialister succinatiphilus,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:252,Microbe
g__Alistipes;s__Alistipes sp. CAG:268,Microbe
g__Ruminococcus;s__Ruminococcus lactaris,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:202,Microbe
g__Faecalibacterium;s__Faecalibacterium sp. CAG:74,Microbe
g__Clostridium;s__Clostridium sp. CAG:277,Microbe
g__Prevotella;s__Prevotella sp. CAG:1058,Microbe
g__Roseburia;s__Roseburia inulinivorans,Microbe
g__Phascolarctobacterium;s__Phascolarctobacterium sp. CAG:266,Microbe
g__Akkermansia;s__Akkermansia sp. CAG:344,Microbe
g__Prevotella;s__Prevotella sp. CAG:1031,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:156,Microbe
g__Clostridium;s__Clostridium sp. CAG:299,Microbe
g__Sutterella;s__Sutterella parvirubra,Microbe
g__Mycoplasma;s__Mycoplasma sp. CAG:472,Microbe
g__Megasphaera;s__Megasphaera sp. DJF_B143,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:786,Microbe
g__Escherichia;s__Escherichia coli,Microbe
g__Clostridium;s__Clostridium sp. CAG:62,Microbe
g__Roseburia;s__Roseburia intestinalis,Microbe
g__Coprobacillus;s__Coprobacillus sp. CAG:605,Microbe
g__Bacteroides;s__Bacteroides fragilis,Microbe
g__Eubacterium;s__Eubacterium ventriosum,Microbe
g__Clostridium;s__Clostridium sp. CAG:43,Microbe
g__Bilophila;s__Bilophila wadsworthia,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:488,Microbe
g__Clostridium;s__Clostridium sp. CAG:245,Microbe
g__Clostridium;s__Clostridium sp. CAG:451,Microbe
g__Clostridium;s__Clostridium sp. CAG:269,Microbe
g__Clostridium;s__Clostridium sp. CAG:58,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:86,Microbe
g__Eubacterium;s__[Eubacterium] eligens,Microbe
g__Ruminiclostridium;s__[Eubacterium] siraeum,Microbe
g__Faecalibacterium;s__Faecalibacterium sp. CAG:82,Microbe
g__Clostridium;s__Clostridium sp. CAG:417,Microbe
g__Roseburia;s__Roseburia sp. CAG:197,Microbe
g__Bifidobacterium;s__Bifidobacterium adolescentis,Microbe
g__Bacteroides;s__Bacteroides vulgatus,Microbe
g__Odoribacter;s__Odoribacter splanchnicus,Microbe
g__Bacteroides;s__Bacteroides uniformis,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:248,Microbe
g__Phascolarctobacterium;s__Phascolarctobacterium succinatutens,Microbe
g__Bacteroides;s__Bacteroides thetaiotaomicron,Microbe
g__Clostridium;s__Clostridium sp. KLE 1755,Microbe
g__Clostridium;s__Clostridium sp. AT5,Microbe
g__Bacteroides;s__Bacteroides stercoris,Microbe
g__Clostridium;s__Clostridium sp. CAG:302,Microbe
g__Bacteroides;s__Bacteroides ovatus,Microbe
g__Blautia;s__[Ruminococcus] torques,Microbe
g__Sutterella;s__Sutterella sp. CAG:397,Microbe
g__Parabacteroides;s__Parabacteroides merdae,Microbe
g__Oscillibacter;s__Oscillibacter sp. CAG:241,Microbe
g__Prevotella;s__Prevotella sp. KHD1,Microbe
g__Prevotella;s__Prevotella copri CAG:164,Microbe
g__Clostridium;s__Clostridium sp. CAG:343,Microbe
g__Dorea;s__Dorea longicatena,Microbe
g__Faecalibacterium;s__uncultured Faecalibacterium sp.,Microbe
g__Bacteroides;s__Bacteroides salyersiae,Microbe
g__Alistipes;s__Alistipes putredinis,Microbe
g__Clostridium;s__Clostridium sp. CAG:226,Microbe
g__Bacteroides;s__Bacteroides sp. CAG:754,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:180,Microbe
g__Coprococcus;s__Coprococcus comes,Microbe
g__Clostridium;s__Clostridium sp. CAG:253,Microbe
g__Bacteroides;s__Bacteroides plebeius,Microbe
g__Roseburia;s__Roseburia hominis,Microbe
g__Bacteroides;s__Bacteroides intestinalis CAG:315,Microbe
g__Intestinimonas;s__Intestinimonas butyriciproducens,Microbe
g__Flavonifractor;s__Flavonifractor plautii,Microbe
g__Paraprevotella;s__Paraprevotella xylaniphila,Microbe
g__Blautia;s__Blautia obeum,Microbe
g__Clostridium;s__Clostridium sp. CAG:798,Microbe
g__Bacteroides;s__Bacteroides cellulosilyticus,Microbe
g__Bacteroides;s__Bacteroides clarus CAG:160,Microbe
g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,Microbe
g__Roseburia;s__Roseburia faecis,Microbe
g__Sutterella;s__Sutterella wadsworthensis,Microbe
g__Eubacterium;s__uncultured Eubacterium sp.,Microbe
g__Bacteroides;s__Bacteroides coprophilus,Microbe
g__Clostridium;s__Clostridium sp. CAG:217,Microbe
g__Megamonas;s__Megamonas funiformis,Microbe
g__Bacteroides;s__Bacteroides finegoldii,Microbe
g__Coprococcus;s__Coprococcus eutactus,Microbe
g__Clostridium;s__Clostridium sp. CAG:508,Microbe
g__Bacteroides;s__Bacteroides plebeius CAG:211,Microbe
g__Alistipes;s__Candidatus Alistipes marseilloanorexicus,Microbe
g__Alistipes;s__Alistipes finegoldii,Microbe
g__Streptococcus;s__Streptococcus thermophilus,Microbe
g__Prevotella;s__Prevotella stercorea,Microbe
g__Azospirillum;s__Azospirillum sp. CAG:260,Microbe
g__Odoribacter;s__Odoribacter splanchnicus CAG:14,Microbe
g__Alloprevotella;s__Alloprevotella tannerae,Microbe
g__Coprobacillus;s__Coprobacillus sp. CAG:235,Microbe
g__Bacteroides;s__Bacteroides caccae,Microbe
g__Clostridium;s__Clostridium sp. CAG:138,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:274,Microbe
g__Dialister;s__Dialister sp. CAG:357,Microbe
g__Parabacteroides;s__Parabacteroides goldsteinii,Microbe
g__Clostridium;s__Clostridium sp. CAG:440,Microbe
g__Ruminococcus;s__Ruminococcus sp. CAG:177,Microbe
g__Bacteroides;s__Bacteroides coprocola,Microbe
g__Sutterella;s__Sutterella sp. KLE1602,Microbe
g__Sutterella;s__Sutterella sp. CAG:521,Microbe
g__Anaerotruncus;s__Anaerotruncus colihominis,Microbe
g__Parabacteroides;s__Parabacteroides distasonis,Microbe
g__Collinsella;s__Collinsella aerofaciens,Microbe
g__Eubacterium;s__Eubacterium sp. CAG:115,Microbe
g__Bacteroides;s__uncultured Bacteroides sp.,Microbe
g__Blautia;s__[Ruminococcus] gnavus,Microbe
g__Oscillibacter;s__uncultured Oscillibacter sp.,Microbe
g__Bacteroides;s__Bacteroides dorei,Microbe
g__Alistipes;s__Alistipes shahii,Microbe
g__Oscillibacter;s__Oscillibacter sp. 1-3,Microbe
g__Ruminiclostridium;s__[Clostridium] leptum,Microbe
g__Prevotella;s__Prevotella sp. CAG:487,Microbe
g__Tyzzerella;s__Tyzzerella nexilis,Microbe
g__Bacteroides;s__Bacteroides intestinalis,Microbe
g__Bacteroides;s__Bacteroides oleiciplenus,Microbe
g__Dialister;s__Dialister invisus,Microbe
g__Bacteroides;s__Bacteroides xylanisolvens,Microbe
